iter	Passed	Remaining
0	102	102743
1	103	51606
2	103	34546
3	104	26011
4	105	20899
5	105	17481
6	106	15081
7	106	13255
8	107	11840
9	108	10696
10	108	9759
11	109	8980
12	109	8319
13	110	7752
14	110	7260
15	111	6839
16	111	6467
17	112	6132
18	112	5832
19	113	5573
20	114	5326
21	114	5102
22	115	4898
23	115	4709
24	116	4536
25	116	4375
26	117	4237
27	118	4106
28	118	3979
29	119	3860
30	119	3748
31	120	3642
32	120	3543
33	121	3450
34	121	3361
35	122	3278
36	122	3199
37	123	3129
38	124	3061
39	124	2996
40	125	2932
41	125	2871
42	126	2812
43	126	2757
44	127	2703
45	127	2652
46	128	2603
47	128	2556
48	129	2516
49	130	2478
50	131	2438
51	131	2398
52	132	2360
53	132	2324
54	133	2288
55	133	2254
56	134	2221
57	134	2190
58	135	2162
59	136	2133
60	136	2104
61	137	2076
62	137	2049
63	138	2022
64	138	1996
65	139	1971
66	139	1947
67	140	1923
68	140	1899
69	141	1881
70	142	1862
71	142	1842
72	143	1823
73	144	1803
74	144	1783
75	145	1765
76	145	1746
77	146	1727
78	146	1709
79	147	1693
80	147	1677
81	148	1662
82	148	1643
83	149	1627
84	149	1611
85	150	1596
86	150	1581
87	151	1567
88	151	1553
89	152	1539
90	152	1525
91	153	1512
92	154	1501
93	154	1491
94	155	1479
95	155	1467
96	156	1455
97	156	1444
98	157	1432
99	157	1421
100	158	1410
101	158	1399
102	159	1388
103	160	1379
104	160	1369
105	161	1359
106	161	1349
107	162	1339
108	162	1329
109	163	1320
110	163	1310
111	164	1301
112	164	1292
113	165	1283
114	165	1275
115	166	1267
116	166	1258
117	167	1250
118	168	1245
119	168	1238
120	169	1230
121	169	1221
122	170	1214
123	170	1206
124	171	1199
125	171	1192
126	172	1185
127	173	1178
128	173	1172
129	174	1165
130	174	1158
131	175	1152
132	175	1145
133	176	1139
134	176	1133
135	177	1127
136	177	1120
137	178	1114
138	179	1109
139	179	1103
140	180	1097
141	180	1090
142	181	1084
143	181	1079
144	182	1073
145	182	1067
146	183	1062
147	183	1056
148	184	1050
149	184	1045
150	185	1041
151	185	1037
152	186	1032
153	186	1027
154	187	1022
155	187	1017
156	188	1011
157	188	1006
158	189	1002
159	189	997
160	190	991
161	190	986
162	191	983
163	192	979
164	192	974
165	193	970
166	193	966
167	194	961
168	194	957
169	195	953
170	195	949
171	196	944
172	196	940
173	197	936
174	197	932
175	198	928
176	198	924
177	199	920
178	199	916
179	200	912
180	200	908
181	201	905
182	201	901
183	202	897
184	202	893
185	203	889
186	204	887
187	204	883
188	205	880
189	205	876
190	206	873
191	206	869
192	207	866
193	207	862
194	208	859
195	208	855
196	209	852
197	209	849
198	210	846
199	210	842
200	211	839
201	211	836
202	212	833
203	212	830
204	213	827
205	213	824
206	214	821
207	214	817
208	215	814
209	215	811
210	216	809
211	217	807
212	217	804
213	218	801
214	218	798
215	219	795
216	219	792
217	220	789
218	220	787
219	221	784
220	221	781
221	222	778
222	222	775
223	223	773
224	223	770
225	224	768
226	224	765
227	225	762
228	225	760
229	226	757
230	226	754
231	227	752
232	227	749
233	228	747
234	228	744
235	229	742
236	230	740
237	230	738
238	231	735
239	231	733
240	232	731
241	232	728
242	233	726
243	233	723
244	234	721
245	234	718
246	235	716
247	235	714
248	236	712
249	236	710
250	237	707
251	237	705
252	238	703
253	238	701
254	239	698
255	239	696
256	240	694
257	240	692
258	241	690
259	241	687
260	242	686
261	242	684
262	243	682
263	243	679
264	244	677
265	244	675
266	245	673
267	245	671
268	246	669
269	246	667
270	247	665
271	248	663
272	248	662
273	249	660
274	249	658
275	250	656
276	250	654
277	251	652
278	251	650
279	252	648
280	252	646
281	253	645
282	254	643
283	254	642
284	255	640
285	255	638
286	256	636
287	256	635
288	257	633
289	257	631
290	258	629
291	258	627
292	259	625
293	259	624
294	260	622
295	261	621
296	261	619
297	262	618
298	262	616
299	263	614
300	263	612
301	264	611
302	264	609
303	265	607
304	265	606
305	266	604
306	267	603
307	267	601
308	268	600
309	268	598
310	269	596
311	269	594
312	270	593
313	270	591
314	271	589
315	271	588
316	272	586
317	272	585
318	273	583
319	273	582
320	274	580
321	275	579
322	275	577
323	276	576
324	276	574
325	277	573
326	277	571
327	278	570
328	278	568
329	279	566
330	280	566
331	280	565
332	281	563
333	282	562
334	282	561
335	283	560
336	284	559
337	284	557
338	285	557
339	286	556
340	287	554
341	287	553
342	288	551
343	288	550
344	289	548
345	289	547
346	290	546
347	290	545
348	291	543
349	292	542
350	292	541
351	293	540
352	294	539
353	294	537
354	295	536
355	295	534
356	296	533
357	296	532
358	297	530
359	298	529
360	298	529
361	299	528
362	300	527
363	301	526
364	301	524
365	302	523
366	302	522
367	303	521
368	304	520
369	305	519
370	306	519
371	306	517
372	307	516
373	307	515
374	308	513
375	308	512
376	309	511
377	310	511
378	311	511
379	312	509
380	313	508
381	313	507
382	314	506
383	314	504
384	315	503
385	316	502
386	316	501
387	317	500
388	318	500
389	319	499
390	319	497
391	320	496
392	320	495
393	321	494
394	321	493
395	322	491
396	323	490
397	323	489
398	324	488
399	324	486
400	325	485
401	326	485
402	326	483
403	327	482
404	327	481
405	328	480
406	329	479
407	330	478
408	330	477
409	331	476
410	331	475
411	332	474
412	332	473
413	333	472
414	334	470
415	334	469
416	335	468
417	336	467
418	336	466
419	337	466
420	338	465
421	338	464
422	339	462
423	339	461
424	340	460
425	341	459
426	342	459
427	342	458
428	343	456
429	343	455
430	344	454
431	345	453
432	345	452
433	346	451
434	346	450
435	347	449
436	348	448
437	348	447
438	349	446
439	349	445
440	350	443
441	350	442
442	351	441
443	351	440
444	352	439
445	352	438
446	353	437
447	354	436
448	354	435
449	355	434
450	356	433
451	356	432
452	357	431
453	357	430
454	358	428
455	358	427
456	359	426
457	359	425
458	360	425
459	361	424
460	361	423
461	362	421
462	362	420
463	363	419
464	364	418
465	364	417
466	365	416
467	365	415
468	366	414
469	366	413
470	367	412
471	367	411
472	368	410
473	368	409
474	369	408
475	369	407
476	370	406
477	370	405
478	371	403
479	371	402
480	372	402
481	373	401
482	374	400
483	375	399
484	375	398
485	376	398
486	376	397
487	377	396
488	378	395
489	380	396
490	381	395
491	381	394
492	382	393
493	383	392
494	383	391
495	384	390
496	384	389
497	386	389
498	387	388
499	388	388
500	388	387
501	389	386
502	389	385
503	390	384
504	390	383
505	391	382
506	392	381
507	392	380
508	393	379
509	394	378
510	394	377
511	395	376
512	395	375
513	396	374
514	396	373
515	397	372
516	398	371
517	398	370
518	399	370
519	399	369
520	400	367
521	400	366
522	401	365
523	401	364
524	402	363
525	403	363
526	404	363
527	405	362
528	406	361
529	406	360
530	407	359
531	408	358
532	408	358
533	409	357
534	410	356
535	410	355
536	411	354
537	412	354
538	412	353
539	413	352
540	414	351
541	414	350
542	415	349
543	415	348
544	416	347
545	416	346
546	417	345
547	418	344
548	418	343
549	419	342
550	419	341
551	420	341
552	420	340
553	421	339
554	421	338
555	422	337
556	423	336
557	423	335
558	424	334
559	424	333
560	425	332
561	425	331
562	426	331
563	427	330
564	427	329
565	428	328
566	428	327
567	429	326
568	429	325
569	430	324
570	431	323
571	431	323
572	432	322
573	433	321
574	433	320
575	434	319
576	435	319
577	436	318
578	436	317
579	437	316
580	437	315
581	438	314
582	438	313
583	439	312
584	439	312
585	440	311
586	440	310
587	441	309
588	442	309
589	443	308
590	444	307
591	444	306
592	445	305
593	445	304
594	446	303
595	446	302
596	447	302
597	448	301
598	448	300
599	449	299
600	449	298
601	450	297
602	450	296
603	451	295
604	451	295
605	452	294
606	453	293
607	453	292
608	454	291
609	454	290
610	455	289
611	455	289
612	456	288
613	456	287
614	457	286
615	457	285
616	458	284
617	458	283
618	459	282
619	460	281
620	460	281
621	461	280
622	461	279
623	462	278
624	462	277
625	463	276
626	463	276
627	464	275
628	464	274
629	465	273
630	465	272
631	466	271
632	467	270
633	467	270
634	468	269
635	468	268
636	469	267
637	469	266
638	470	265
639	471	264
640	471	264
641	472	263
642	472	262
643	473	261
644	473	260
645	474	260
646	475	259
647	475	258
648	476	257
649	476	256
650	477	255
651	477	255
652	478	254
653	478	253
654	479	252
655	480	251
656	480	250
657	481	250
658	481	249
659	482	248
660	482	247
661	483	246
662	483	245
663	484	244
664	484	244
665	485	243
666	485	242
667	486	241
668	486	240
669	487	240
670	487	239
671	488	238
672	488	237
673	489	236
674	489	235
675	490	235
676	490	234
677	491	233
678	492	232
679	492	231
680	493	231
681	493	230
682	494	229
683	494	228
684	495	227
685	495	226
686	496	226
687	496	225
688	497	224
689	497	223
690	498	222
691	499	222
692	499	221
693	500	220
694	501	219
695	501	219
696	502	218
697	502	217
698	503	216
699	503	215
700	504	215
701	504	214
702	505	213
703	506	212
704	506	211
705	507	211
706	507	210
707	508	209
708	508	208
709	509	208
710	510	207
711	510	206
712	511	205
713	512	205
714	512	204
715	513	203
716	513	202
717	514	201
718	514	201
719	515	200
720	515	199
721	516	198
722	516	197
723	517	197
724	518	196
725	518	195
726	519	194
727	519	194
728	520	193
729	520	192
730	521	191
731	521	191
732	522	190
733	522	189
734	523	188
735	524	188
736	524	187
737	525	186
738	525	185
739	526	184
740	527	184
741	527	183
742	528	182
743	528	181
744	529	181
745	529	180
746	530	179
747	530	178
748	531	178
749	531	177
750	532	176
751	532	175
752	533	174
753	533	174
754	534	173
755	535	172
756	535	171
757	536	171
758	536	170
759	537	169
760	537	168
761	538	168
762	538	167
763	539	166
764	539	165
765	540	165
766	540	164
767	541	163
768	541	162
769	542	162
770	543	161
771	543	160
772	544	159
773	544	159
774	545	158
775	545	157
776	546	156
777	546	156
778	547	155
779	547	154
780	548	153
781	549	153
782	549	152
783	550	151
784	550	150
785	551	150
786	551	149
787	552	148
788	552	147
789	553	147
790	554	146
791	554	145
792	555	144
793	555	144
794	556	143
795	556	142
796	557	141
797	557	141
798	558	140
799	558	139
800	559	138
801	559	138
802	560	137
803	560	136
804	561	136
805	562	135
806	562	134
807	563	133
808	563	133
809	564	132
810	564	131
811	565	130
812	565	130
813	566	129
814	566	128
815	567	127
816	567	127
817	568	126
818	569	125
819	569	125
820	570	124
821	570	123
822	571	122
823	571	122
824	572	121
825	572	120
826	573	119
827	573	119
828	574	118
829	574	117
830	575	116
831	575	116
832	576	115
833	576	114
834	577	114
835	577	113
836	578	112
837	578	111
838	579	111
839	579	110
840	580	109
841	580	109
842	581	108
843	581	107
844	582	106
845	582	106
846	583	105
847	583	104
848	584	103
849	584	103
850	585	102
851	585	101
852	586	101
853	586	100
854	587	99
855	587	98
856	588	98
857	588	97
858	589	96
859	589	96
860	590	95
861	590	94
862	591	93
863	591	93
864	592	92
865	593	91
866	593	91
867	594	90
868	594	89
869	594	88
870	595	88
871	595	87
872	596	86
873	596	86
874	597	85
875	598	84
876	598	83
877	599	83
878	599	82
879	600	81
880	600	81
881	601	80
882	601	79
883	602	79
884	602	78
885	603	77
886	603	76
887	604	76
888	604	75
889	605	74
890	606	74
891	606	73
892	607	72
893	607	72
894	608	71
895	608	70
896	609	69
897	609	69
898	610	68
899	611	67
900	611	67
901	612	66
902	612	65
903	613	65
904	613	64
905	614	63
906	614	63
907	615	62
908	615	61
909	616	60
910	616	60
911	617	59
912	618	58
913	618	58
914	619	57
915	619	56
916	620	56
917	620	55
918	621	54
919	621	54
920	622	53
921	622	52
922	623	52
923	623	51
924	624	50
925	625	49
926	625	49
927	626	48
928	626	47
929	627	47
930	627	46
931	628	45
932	628	45
933	629	44
934	629	43
935	630	43
936	630	42
937	631	41
938	632	41
939	632	40
940	633	39
941	633	39
942	634	38
943	634	37
944	635	36
945	635	36
946	636	35
947	636	34
948	637	34
949	637	33
950	638	32
951	639	32
952	639	31
953	640	30
954	640	30
955	641	29
956	641	28
957	642	28
958	642	27
959	643	26
960	644	26
961	644	25
962	645	24
963	646	24
964	646	23
965	647	22
966	647	22
967	648	21
968	648	20
969	649	20
970	650	19
971	650	18
972	651	18
973	651	17
974	652	16
975	653	16
976	653	15
977	654	14
978	654	14
979	655	13
980	655	12
981	656	12
982	656	11
983	657	10
984	657	10
985	658	9
986	658	8
987	659	8
988	659	7
